State,StateName,Region,FIPS,ColonyCount,TotalProduction,YieldPerColony,PricePerLB,ProductionValue,Stocks,YearRecorded,Clothianidin,Imidacloprid,Thiamethoxam,Acetamiprid,Thiacloprid,CombinedNeonic,ColonyGrowth,GrowthOutcome
AL,Alabama,South,1,9000.0,486000.0,54,2.4,1166000.0,73000.0,2010,1914.0,1757.0,4658.3,0.0,0.0,8329.3,0.0,0
AL,Alabama,South,1,9000.0,450000.0,50,2.51,1130000.0,63000.0,2011,10106.1,5229.8,7148.1,0.0,0.0,22484.0,0.0,0
AL,Alabama,South,1,8000.0,432000.0,54,2.47,1067000.0,65000.0,2012,4797.8,6249.1,7002.6,0.0,0.0,18049.5,-11.11111111,0
AL,Alabama,South,1,7000.0,364000.0,52,2.85,1037000.0,55000.0,2013,5992.9,8284.4,5202.0,0.0,0.0,19479.3,-12.5,0
AL,Alabama,South,1,7000.0,371000.0,53,3.53,1310000.0,26000.0,2014,7971.6,12194.1,4745.4,0.0,0.0,24911.1,0.0,0
AL,Alabama,South,1,7000.0,329000.0,47,3.83,1260000.0,13000.0,2015,56.2,10919.3,1101.6,0.0,0.0,12077.1,0.0,0
AR,Arkansas,South,5,50000.0,3000000.0,60,0.71,2130000.0,900000.0,1995,0.0,11115.6,0.0,0.0,0.0,11115.6,0.0,0
AR,Arkansas,South,5,40000.0,3360000.0,84,0.85,2856000.0,336000.0,1996,0.0,493.6,0.0,0.0,0.0,493.6,-20.0,0
AR,Arkansas,South,5,50000.0,4750000.0,95,0.7,3325000.0,3468000.0,1997,0.0,2353.7,0.0,0.0,0.0,2353.7,25.0,1
AR,Arkansas,South,5,53000.0,3445000.0,65,0.59,2033000.0,1688000.0,1998,0.0,1262.3,0.0,0.0,0.0,1262.3,6.0,1
AR,Arkansas,South,5,52000.0,4628000.0,89,0.53,2453000.0,2592000.0,1999,0.0,692.2,0.0,0.0,0.0,692.2,-1.8867924530000002,0
AR,Arkansas,South,5,52000.0,4836000.0,93,0.57,2757000.0,3337000.0,2000,0.0,844.0,81.2,0.0,0.0,925.2,0.0,0
AR,Arkansas,South,5,50000.0,4900000.0,98,0.65,3185000.0,1617000.0,2001,0.0,2884.8,684.9,0.0,0.0,3569.7,-3.8461538460000004,0
AR,Arkansas,South,5,45000.0,3960000.0,88,1.26,4990000.0,871000.0,2002,0.0,1306.7,1462.0,107.9,0.0,2876.6,-10.0,0
AR,Arkansas,South,5,40000.0,3000000.0,75,1.26,3780000.0,810000.0,2003,0.0,3266.6,2280.0,20.8,0.0,5567.4,-11.11111111,0
AR,Arkansas,South,5,40000.0,2280000.0,57,0.87,1984000.0,388000.0,2004,530.9,11941.3,9368.6,3312.4,0.0,25153.2,0.0,0
AR,Arkansas,South,5,36000.0,2484000.0,69,0.97,2409000.0,571000.0,2005,2458.3,6902.1,7310.4,981.2,0.0,17652.0,-10.0,0
AR,Arkansas,South,5,32000.0,2432000.0,76,0.89,2164000.0,730000.0,2006,1518.4,7036.6,20647.9,4686.6,0.0,33889.5,-11.11111111,0
AR,Arkansas,South,5,28000.0,2240000.0,80,0.95,2128000.0,672000.0,2007,209.8,12750.1,17475.5,1277.4,0.0,31712.8,-12.5,0
AR,Arkansas,South,5,28000.0,2100000.0,75,1.35,2835000.0,525000.0,2008,2168.9,9093.8,25102.8,995.7,0.0,37361.2,0.0,0
AR,Arkansas,South,5,24000.0,1368000.0,57,1.42,1943000.0,301000.0,2009,4346.9,10079.4,21186.5,349.1,0.0,35961.9,-14.28571429,0
AR,Arkansas,South,5,25000.0,1500000.0,60,1.47,2205000.0,360000.0,2010,3544.8,9049.8,21468.2,902.7,0.0,34965.5,4.166666667,1
AR,Arkansas,South,5,22000.0,1408000.0,64,1.62,2281000.0,239000.0,2011,5894.4,15162.1,33501.0,2874.3,0.0,57431.8,-12.0,0
AR,Arkansas,South,5,25000.0,1575000.0,63,1.98,3119000.0,189000.0,2012,4939.2,12508.7,33718.9,59.7,0.0,51226.5,13.63636364,1
AR,Arkansas,South,5,22000.0,1320000.0,60,2.02,2666000.0,66000.0,2013,17338.3,17309.0,23873.8,0.0,0.0,58521.1,-12.0,0
AR,Arkansas,South,5,21000.0,1365000.0,65,2.04,2785000.0,137000.0,2014,15202.6,17066.9,23805.3,692.1,0.0,56766.9,-4.545454545,0
AR,Arkansas,South,5,24000.0,1728000.0,72,2.06,3560000.0,121000.0,2015,1070.4,5235.9,5373.0,748.0,0.0,12427.3,14.28571429,1
AZ,Arizona,West,4,47000.0,2773000.0,59,0.51,1414000.0,166000.0,1994,0.0,2653.2,0.0,0.0,0.0,2653.2,-14.54545455,0
AZ,Arizona,West,4,52000.0,4108000.0,79,0.65,2670000.0,986000.0,1995,0.0,8260.6,0.0,0.0,0.0,8260.6,10.63829787,1
AZ,Arizona,West,4,32000.0,1920000.0,60,0.85,1632000.0,307000.0,1996,0.0,6156.9,0.0,0.0,0.0,6156.9,-38.46153846,0
AZ,Arizona,West,4,42000.0,3360000.0,80,0.72,2419000.0,1344000.0,1997,0.0,10204.2,0.0,0.0,0.0,10204.2,31.25,1
AZ,Arizona,West,4,55000.0,3300000.0,60,0.64,2112000.0,1485000.0,1998,0.0,4814.2,0.0,0.0,0.0,4814.2,30.95238095,1
AZ,Arizona,West,4,52000.0,3224000.0,62,0.62,1999000.0,1548000.0,1999,0.0,5171.6,0.0,0.0,0.0,5171.6,-5.454545455,0
AZ,Arizona,West,4,40000.0,2360000.0,59,0.73,1723000.0,1322000.0,2000,0.0,10467.4,0.0,0.0,0.0,10467.4,-23.07692308,0
AZ,Arizona,West,4,43000.0,2537000.0,59,0.72,1827000.0,1142000.0,2001,0.0,3713.1,19.6,0.0,0.0,3732.7,7.5,1
AZ,Arizona,West,4,38000.0,2394000.0,63,1.08,2586000.0,1197000.0,2002,0.0,6235.4,562.2,141.6,0.0,6939.2,-11.62790698,0
AZ,Arizona,West,4,35000.0,2520000.0,72,1.34,3377000.0,983000.0,2003,0.0,9847.5,94.4,1120.2,0.0,11062.1,-7.894736842,0
AZ,Arizona,West,4,32000.0,1760000.0,55,1.11,1954000.0,774000.0,2004,96.7,10884.3,257.8,1635.9,0.0,12874.7,-8.571428571,0
AZ,Arizona,West,4,36000.0,1800000.0,50,1.04,1872000.0,720000.0,2005,0.0,8633.8,141.2,2509.3,0.0,11284.3,12.5,1
AZ,Arizona,West,4,30000.0,1950000.0,65,0.91,1775000.0,839000.0,2006,48.7,9657.7,547.3,3470.6,0.0,13724.3,-16.66666667,0
AZ,Arizona,West,4,30000.0,1920000.0,64,1.26,2419000.0,902000.0,2007,48.7,9038.0,304.0,679.5,0.0,10070.2,0.0,0
AZ,Arizona,West,4,25000.0,1600000.0,64,1.26,2016000.0,336000.0,2008,0.0,8541.8,190.8,1791.8,0.0,10524.4,-16.66666667,0
AZ,Arizona,West,4,20000.0,1040000.0,52,1.45,1508000.0,562000.0,2009,266.0,9309.2,526.1,1246.8,0.0,11348.1,-20.0,0
AZ,Arizona,West,4,24000.0,1848000.0,77,1.52,2809000.0,665000.0,2010,921.7,9530.3,1225.3,857.7,0.0,12535.0,20.0,1
AZ,Arizona,West,4,23000.0,1219000.0,53,1.55,1889000.0,427000.0,2011,1188.3,15866.7,2721.0,1134.2,0.0,20910.2,-4.166666667,0
AZ,Arizona,West,4,22000.0,1012000.0,46,1.79,1811000.0,253000.0,2012,2036.4,10907.6,759.2,1535.1,0.0,15238.3,-4.347826087,0
AZ,Arizona,West,4,29000.0,1044000.0,36,1.96,2046000.0,251000.0,2013,2139.8,15241.6,226.5,1961.4,0.0,19569.3,31.81818182,1
AZ,Arizona,West,4,26000.0,1014000.0,39,1.92,1947000.0,193000.0,2014,2262.1,15137.4,1680.7,569.1,0.0,19649.3,-10.34482759,0
AZ,Arizona,West,4,26000.0,1274000.0,49,2.03,2586000.0,306000.0,2015,223.1,13254.2,340.1,1319.1,0.0,15136.5,0.0,0
CA,California,West,6,400000.0,24000000.0,60,0.51,12240000.0,6480000.0,1994,0.0,2348.0,0.0,0.0,0.0,2348.0,-20.0,0
CA,California,West,6,420000.0,39060000.0,93,0.63,24608000.0,4687000.0,1995,0.0,28576.6,0.0,0.0,0.0,28576.6,5.0,1
CA,California,West,6,390000.0,27300000.0,70,0.84,22932000.0,4641000.0,1996,0.0,33002.7,0.0,0.0,0.0,33002.7,-7.142857143,0
CA,California,West,6,420000.0,31500000.0,75,0.7,22050000.0,9450000.0,1997,0.0,76719.6,0.0,0.0,0.0,76719.6,7.692307692000001,1
CA,California,West,6,450000.0,37350000.0,83,0.62,23157000.0,12326000.0,1998,0.0,61047.2,0.0,0.0,0.0,61047.2,7.142857143,1
CA,California,West,6,465000.0,27900000.0,60,0.55,15345000.0,9486000.0,1999,0.0,41778.9,0.0,0.0,0.0,41778.9,3.333333333,1
CA,California,West,6,440000.0,30800000.0,70,0.59,18172000.0,11396000.0,2000,0.0,30796.5,0.0,0.0,0.0,30796.5,-5.3763440860000005,0
CA,California,West,6,460000.0,28060000.0,61,0.69,19361000.0,7857000.0,2001,0.0,35178.6,0.0,0.0,0.0,35178.6,4.545454545,1
CA,California,West,6,470000.0,23500000.0,50,1.32,31020000.0,3525000.0,2002,0.0,36653.3,5021.8,3007.5,0.0,44682.6,2.173913043,1
CA,California,West,6,480000.0,32160000.0,67,1.39,44702000.0,6432000.0,2003,0.0,38511.7,4615.1,12293.0,0.0,55419.8,2.127659574,1
CA,California,West,6,390000.0,17550000.0,45,1.05,18428000.0,5792000.0,2004,0.0,38897.8,4439.2,15984.1,0.0,59321.1,-18.75,0
CA,California,West,6,400000.0,30000000.0,75,0.86,25800000.0,9300000.0,2005,0.0,42563.9,5460.7,13997.2,0.0,62021.8,2.564102564,1
CA,California,West,6,380000.0,19760000.0,52,0.97,19167000.0,7706000.0,2006,0.0,45520.7,4963.9,13963.7,39.8,64488.1,-5.0,0
CA,California,West,6,340000.0,13600000.0,40,1.04,14144000.0,3672000.0,2007,1.3,112185.1,2541.8,11249.3,28.7,126006.2,-10.52631579,0
CA,California,West,6,360000.0,18360000.0,51,1.39,25520000.0,4039000.0,2008,608.0,61475.8,3394.4,36480.3,17.1,101975.6,5.882352941000001,1
CA,California,West,6,355000.0,11715000.0,33,1.39,16284000.0,2109000.0,2009,796.9,73976.8,4115.9,9496.4,0.0,88386.0,-1.388888889,0
CA,California,West,6,410000.0,27470000.0,67,1.55,42579000.0,6318000.0,2010,1410.8,93949.9,4521.7,11462.0,0.0,111344.4,15.49295775,1
CA,California,West,6,370000.0,17760000.0,48,1.65,29304000.0,3730000.0,2011,14229.5,112450.6,7391.2,15457.0,0.0,149528.3,-9.756097561,0
CA,California,West,6,330000.0,11550000.0,35,1.94,22407000.0,3119000.0,2012,2898.1,112795.9,7572.1,17423.0,0.3,140689.4,-10.81081081,0
CA,California,West,6,330000.0,10890000.0,33,2.11,22978000.0,2505000.0,2013,6569.3,130277.0,12189.3,18075.6,0.0,167111.2,0.0,0
CA,California,West,6,320000.0,12480000.0,39,2.06,25709000.0,2995000.0,2014,7845.2,134904.2,15249.1,20154.2,0.0,178152.7,-3.03030303,0
CA,California,West,6,275000.0,8250000.0,30,2.03,16748000.0,1485000.0,2015,143619.6,150569.3,17910.1,22852.8,0.0,334951.8,-14.0625,0
CO,Colorado,West,8,45000.0,2700000.0,60,0.73,1971000.0,1404000.0,1995,0.0,655.2,0.0,0.0,0.0,655.2,0.0,0
CO,Colorado,West,8,30000.0,2220000.0,74,0.85,1887000.0,1132000.0,1996,0.0,669.3,0.0,0.0,0.0,669.3,-33.33333333,0
CO,Colorado,West,8,35000.0,1925000.0,55,0.82,1579000.0,982000.0,1997,0.0,4357.9,0.0,0.0,0.0,4357.9,16.66666667,1
CO,Colorado,West,8,27000.0,1944000.0,72,0.7,1361000.0,1594000.0,1998,0.0,1724.5,0.0,0.0,0.0,1724.5,-22.85714286,0
CO,Colorado,West,8,27000.0,2052000.0,76,0.68,1395000.0,1436000.0,1999,0.0,913.9,0.0,0.0,0.0,913.9,0.0,0
CO,Colorado,West,8,29000.0,1740000.0,60,0.62,1079000.0,957000.0,2000,0.0,263.8,0.0,0.0,0.0,263.8,7.407407407000001,1
CO,Colorado,West,8,26000.0,1430000.0,55,0.71,1015000.0,529000.0,2001,0.0,1575.0,9.8,0.0,0.0,1584.8,-10.34482759,0
CO,Colorado,West,8,24000.0,1440000.0,60,1.29,1858000.0,576000.0,2002,0.0,1213.2,353.6,0.0,0.0,1566.8,-7.692307692000001,0
CO,Colorado,West,8,24000.0,2064000.0,86,1.4,2890000.0,722000.0,2003,0.0,381.1,485.3,0.0,0.0,866.4,0.0,0
CO,Colorado,West,8,23000.0,1840000.0,80,1.35,2484000.0,791000.0,2004,1861.5,1657.0,1847.5,0.0,0.0,5366.0,-4.166666667,0
CO,Colorado,West,8,28000.0,1960000.0,70,0.97,1901000.0,902000.0,2005,5369.9,2381.9,622.5,0.0,0.0,8374.3,21.73913043,1
CO,Colorado,West,8,36000.0,2700000.0,75,1.04,2808000.0,1458000.0,2006,3165.9,883.8,1464.0,0.0,0.0,5513.7,28.57142857,1
CO,Colorado,West,8,31000.0,1581000.0,51,1.15,1818000.0,838000.0,2007,2223.3,1794.0,1077.1,0.0,0.0,5094.4,-13.88888889,0
CO,Colorado,West,8,27000.0,1215000.0,45,1.51,1835000.0,656000.0,2008,4894.1,960.4,2425.9,12.2,0.0,8292.6,-12.90322581,0
CO,Colorado,West,8,28000.0,1484000.0,53,1.43,2122000.0,326000.0,2009,7375.4,2561.9,2176.0,0.0,0.0,12113.3,3.7037037039999996,1
CO,Colorado,West,8,34000.0,1904000.0,56,1.52,2894000.0,533000.0,2010,16623.2,3435.3,4125.3,0.0,0.0,24183.8,21.42857143,1
CO,Colorado,West,8,31000.0,1705000.0,55,2.0,3410000.0,443000.0,2011,20234.1,3789.6,3456.8,0.0,0.0,27480.5,-8.823529412000001,0
CO,Colorado,West,8,25000.0,1200000.0,48,2.07,2484000.0,468000.0,2012,12283.8,3915.9,5185.3,0.0,0.0,21385.0,-19.35483871,0
CO,Colorado,West,8,26000.0,1118000.0,43,2.1,2348000.0,324000.0,2013,9791.5,3276.3,6200.5,0.0,0.0,19268.3,4.0,1
CO,Colorado,West,8,27000.0,999000.0,37,2.11,2108000.0,200000.0,2014,8658.2,1140.7,8689.7,0.0,0.0,18488.6,3.8461538460000004,1
CO,Colorado,West,8,29000.0,1479000.0,51,2.26,3343000.0,399000.0,2015,0.0,4567.8,207.0,0.0,0.0,4774.8,7.407407407000001,1
FL,Florida,South,12,230000.0,19320000.0,84,0.47,9080000.0,2898000.0,1994,0.0,3039.4,0.0,0.0,0.0,3039.4,15.0,1
FL,Florida,South,12,230000.0,19780000.0,86,0.64,12659000.0,1780000.0,1995,0.0,4828.5,0.0,0.0,0.0,4828.5,0.0,0
FL,Florida,South,12,240000.0,25200000.0,105,0.86,21672000.0,2268000.0,1996,0.0,12278.0,0.0,0.0,0.0,12278.0,4.347826087,1
FL,Florida,South,12,240000.0,16080000.0,67,0.73,11738000.0,2734000.0,1997,0.0,9347.5,0.0,0.0,0.0,9347.5,0.0,0
FL,Florida,South,12,230000.0,22540000.0,98,0.64,14426000.0,4508000.0,1998,0.0,11049.1,0.0,0.0,0.0,11049.1,-4.166666667,0
FL,Florida,South,12,228000.0,23256000.0,102,0.53,12326000.0,4186000.0,1999,0.0,11173.8,0.0,0.0,0.0,11173.8,-0.869565217,0
FL,Florida,South,12,232000.0,24360000.0,105,0.54,13154000.0,2923000.0,2000,0.0,6003.8,0.0,0.0,0.0,6003.8,1.754385965,1
FL,Florida,South,12,220000.0,22000000.0,100,0.64,14080000.0,3432000.0,2001,0.0,9378.8,0.0,0.0,0.0,9378.8,-5.1724137930000005,0
FL,Florida,South,12,220000.0,20460000.0,93,1.14,23324000.0,2026000.0,2002,0.0,7846.5,10.2,0.0,0.0,7856.7,0.0,0
FL,Florida,South,12,210000.0,14910000.0,71,1.32,19681000.0,1491000.0,2003,0.0,35597.6,0.0,0.0,0.0,35597.6,-4.545454545,0
FL,Florida,South,12,205000.0,20090000.0,98,1.02,20492000.0,2009000.0,2004,0.0,15851.0,1146.7,0.0,0.0,16997.7,-2.3809523809999997,0
FL,Florida,South,12,160000.0,13760000.0,86,0.87,11971000.0,2477000.0,2005,7.9,26821.9,1887.8,93.5,0.0,28811.1,-21.95121951,0
FL,Florida,South,12,170000.0,13770000.0,81,1.0,13770000.0,1790000.0,2006,85.4,20595.0,625.4,156.2,0.0,21462.0,6.25,1
FL,Florida,South,12,160000.0,11360000.0,71,0.99,11246000.0,1363000.0,2007,84.4,42580.1,933.8,16.5,0.0,43614.8,-5.882352941000001,0
FL,Florida,South,12,150000.0,11850000.0,79,1.32,15642000.0,1304000.0,2008,134.3,31040.8,2152.0,181.1,0.0,33508.2,-6.25,0
FL,Florida,South,12,170000.0,11560000.0,68,1.42,16415000.0,1618000.0,2009,96.3,31796.6,2237.5,734.4,0.0,34864.8,13.33333333,1
FL,Florida,South,12,200000.0,13800000.0,69,1.56,21528000.0,1794000.0,2010,238.5,29766.4,3700.1,290.7,0.0,33995.7,17.64705882,1
FL,Florida,South,12,180000.0,10980000.0,61,1.68,18446000.0,988000.0,2011,358.2,38183.4,13523.4,469.8,0.0,52534.8,-10.0,0
FL,Florida,South,12,193000.0,12352000.0,64,1.84,22728000.0,1235000.0,2012,657.7,45642.4,11270.7,487.6,0.0,58058.4,7.222222222,1
FL,Florida,South,12,220000.0,13420000.0,61,2.03,27243000.0,1074000.0,2013,281.9,61532.0,13291.0,643.9,0.0,75748.8,13.98963731,1
FL,Florida,South,12,245000.0,14700000.0,60,2.08,30576000.0,1029000.0,2014,858.6,30203.3,13241.9,368.9,0.0,44672.7,11.36363636,1
FL,Florida,South,12,220000.0,11880000.0,54,1.97,23404000.0,832000.0,2015,198.9,37847.4,7991.5,712.0,0.0,46749.8,-10.20408163,0
FL,Florida,South,12,215000.0,10750000.0,50,2.43,26123000.0,538000.0,2016,93.8,52580.4,11642.4,1.8,0.0,64318.4,-2.272727273,0
GA,Georgia,South,13,70000.0,4340000.0,62,0.71,3081000.0,260000.0,1995,0.0,0.9,0.0,0.0,0.0,0.9,-12.5,0
GA,Georgia,South,13,75000.0,5100000.0,68,0.88,4488000.0,306000.0,1996,0.0,1008.8,0.0,0.0,0.0,1008.8,7.142857143,1
GA,Georgia,South,13,75000.0,3450000.0,46,0.79,2726000.0,587000.0,1997,0.0,10856.3,0.0,0.0,0.0,10856.3,0.0,0
GA,Georgia,South,13,75000.0,4200000.0,56,0.69,2898000.0,307000.0,1998,0.0,5259.6,0.0,0.0,0.0,5259.6,0.0,0
GA,Georgia,South,13,65000.0,3315000.0,51,0.64,2122000.0,497000.0,1999,0.0,3647.8,0.0,0.0,0.0,3647.8,-13.33333333,0
GA,Georgia,South,13,55000.0,3135000.0,57,0.63,1975000.0,376000.0,2000,0.0,3065.3,0.0,0.0,0.0,3065.3,-15.38461538,0
GA,Georgia,South,13,55000.0,3135000.0,57,0.7,2195000.0,188000.0,2001,0.0,4127.4,0.0,0.0,0.0,4127.4,0.0,0
GA,Georgia,South,13,50000.0,2600000.0,52,1.13,2938000.0,52000.0,2002,0.0,5541.3,2643.7,0.0,0.0,8185.0,-9.090909091,0
GA,Georgia,South,13,52000.0,3380000.0,65,1.28,4326000.0,270000.0,2003,0.0,11799.7,1670.2,0.0,0.0,13469.9,4.0,1
GA,Georgia,South,13,63000.0,3087000.0,49,1.2,3704000.0,648000.0,2004,4667.9,3927.7,1823.0,0.1,2.7,10421.4,21.15384615,1
GA,Georgia,South,13,59000.0,2891000.0,49,0.89,2573000.0,434000.0,2005,58.4,3524.6,3326.1,7.6,20.6,6937.3,-6.349206349,0
GA,Georgia,South,13,63000.0,4662000.0,74,1.2,5594000.0,746000.0,2006,1161.6,11053.7,9371.1,52.7,41.4,21680.5,6.7796610170000005,1
GA,Georgia,South,13,60000.0,3480000.0,58,1.19,4141000.0,522000.0,2007,3736.5,5571.6,7840.9,10.8,0.0,17159.8,-4.7619047619999995,0
GA,Georgia,South,13,65000.0,4615000.0,71,1.52,7015000.0,369000.0,2008,1942.8,6568.8,9468.3,25.9,21.5,18027.3,8.333333332999999,1
GA,Georgia,South,13,65000.0,2665000.0,41,1.47,3918000.0,346000.0,2009,2305.1,11526.9,9464.0,27.8,0.4,23324.2,0.0,0
GA,Georgia,South,13,55000.0,2530000.0,46,1.67,4225000.0,152000.0,2010,2010.1,15499.6,8551.6,45.6,10.4,26117.3,-15.38461538,0
GA,Georgia,South,13,65000.0,2795000.0,43,1.65,4612000.0,196000.0,2011,2592.3,38017.1,17996.9,6.0,13.1,58625.4,18.18181818,1
GA,Georgia,South,13,59000.0,3009000.0,51,1.92,5777000.0,181000.0,2012,2027.7,21222.0,17521.6,62.3,5.9,40839.5,-9.230769231,0
GA,Georgia,South,13,67000.0,3350000.0,50,2.26,7571000.0,637000.0,2013,4551.9,17838.7,22223.9,33.7,0.0,44648.2,13.55932203,1
GA,Georgia,South,13,73000.0,4526000.0,62,2.19,9912000.0,362000.0,2014,7799.7,27802.7,16303.3,27.0,0.0,51932.7,8.955223881,1
GA,Georgia,South,13,69000.0,2760000.0,40,2.43,6707000.0,221000.0,2015,1734.4,24940.5,2930.0,41.6,0.0,29646.5,-5.479452055,0
GA,Georgia,South,13,96000.0,3744000.0,39,2.69,10071000.0,899000.0,2016,4515.6,42934.0,9302.7,63.5,0.0,56815.8,39.13043478,1
IA,Iowa,Midwest,19,50000.0,3400000.0,68,0.77,2618000.0,612000.0,1995,0.0,23.7,0.0,0.0,0.0,23.7,-9.090909091,0
IA,Iowa,Midwest,19,58000.0,3886000.0,67,0.95,3692000.0,933000.0,1996,0.0,38.6,0.0,0.0,0.0,38.6,16.0,1
IA,Iowa,Midwest,19,45000.0,3330000.0,74,0.86,2864000.0,1765000.0,1997,0.0,47.7,0.0,0.0,0.0,47.7,-22.4137931,0
IA,Iowa,Midwest,19,50000.0,3900000.0,78,0.7,2730000.0,2301000.0,1998,0.0,322.4,0.0,0.0,0.0,322.4,11.11111111,1
IA,Iowa,Midwest,19,40000.0,2600000.0,65,0.65,1690000.0,2028000.0,1999,0.0,65.5,0.0,0.0,0.0,65.5,-20.0,0
IA,Iowa,Midwest,19,30000.0,2010000.0,67,0.68,1367000.0,1206000.0,2000,0.0,61.4,0.0,0.0,0.0,61.4,-25.0,0
IA,Iowa,Midwest,19,33000.0,1683000.0,51,0.75,1262000.0,875000.0,2001,0.0,57.6,0.6,0.0,0.0,58.2,10.0,1
IA,Iowa,Midwest,19,33000.0,2310000.0,70,1.43,3303000.0,901000.0,2002,0.0,102.5,3.3,0.0,0.0,105.8,0.0,0
IA,Iowa,Midwest,19,32000.0,1888000.0,59,1.42,2681000.0,868000.0,2003,0.0,79.4,4.4,9.2,0.0,93.0,-3.03030303,0
IA,Iowa,Midwest,19,35000.0,2345000.0,67,1.06,2486000.0,1337000.0,2004,21798.9,8143.3,5280.1,16.0,0.0,35238.3,9.375,1
IA,Iowa,Midwest,19,28000.0,2464000.0,88,1.21,2981000.0,1232000.0,2005,39662.1,5884.9,8273.3,9.1,0.0,53829.4,-20.0,0
IA,Iowa,Midwest,19,26000.0,2184000.0,84,1.37,2992000.0,1441000.0,2006,48965.9,4205.2,18630.3,8.4,0.0,71809.8,-7.142857143,0
IA,Iowa,Midwest,19,26000.0,2106000.0,81,1.31,2759000.0,1221000.0,2007,55855.6,6057.1,31059.7,7.9,0.0,92980.3,0.0,0
IA,Iowa,Midwest,19,24000.0,1488000.0,62,1.58,2351000.0,580000.0,2008,95696.0,16994.9,37337.2,0.9,0.0,150029.0,-7.692307692000001,0
IA,Iowa,Midwest,19,26000.0,1092000.0,42,1.6,1747000.0,339000.0,2009,87469.4,17994.1,52617.1,7.5,0.0,158088.1,8.333333332999999,1
IA,Iowa,Midwest,19,27000.0,1323000.0,49,1.92,2540000.0,463000.0,2010,61314.3,75558.9,48152.2,5.8,0.0,185031.2,3.8461538460000004,1
IA,Iowa,Midwest,19,25000.0,1550000.0,62,1.96,3038000.0,961000.0,2011,129359.2,36744.7,56816.9,10.3,0.0,222931.1,-7.407407407000001,0
IA,Iowa,Midwest,19,37000.0,2257000.0,61,2.17,4898000.0,1196000.0,2012,168229.2,49328.3,59286.2,11.0,0.0,276854.7,48.0,1
IA,Iowa,Midwest,19,39000.0,1872000.0,48,2.45,4586000.0,1217000.0,2013,214836.0,70715.7,49952.7,25.5,0.0,335529.9,5.405405405,1
IA,Iowa,Midwest,19,35000.0,1505000.0,43,2.41,3627000.0,933000.0,2014,256886.6,53938.0,64834.6,11.9,0.0,375671.1,-10.25641026,0
IA,Iowa,Midwest,19,36000.0,1800000.0,50,2.2,3960000.0,990000.0,2015,3.2,4945.6,6004.2,3.3,0.0,10956.3,2.857142857,1
IA,Iowa,Midwest,19,37000.0,1776000.0,48,2.08,3694000.0,746000.0,2016,0.0,3160.6,1105.8,7.0,0.0,4273.4,2.777777778,1
ID,Idaho,West,16,127000.0,7493000.0,59,0.52,3896000.0,1274000.0,1994,0.0,52.7,0.0,0.0,0.0,52.7,-4.511278195,0
